Category,Round
HISTORY,Jeopardy!
ESPN's TOP 10 ALL-TIME ATHLETES,Jeopardy!
EVERYBODY TALKS ABOUT IT...,Jeopardy!
THE COMPANY LINE,Jeopardy!
EPITAPHS & TRIBUTES,Jeopardy!
3-LETTER WORDS,Jeopardy!
DR. SEUSS AT THE MULTIPLEX,Double Jeopardy!
PRESIDENTIAL STATES OF BIRTH,Double Jeopardy!
AIRLINE TRAVEL,Double Jeopardy!
THAT OLD-TIME RELIGION,Double Jeopardy!
MUSICAL TRAINS,Double Jeopardy!
"""X""s & ""O""s",Double Jeopardy!
THE SOLAR SYSTEM,Final Jeopardy!
"GEOGRAPHY ""E""",Jeopardy!
RADIO DISNEY,Jeopardy!
PARTS OF PEACH,Jeopardy!
BE FRUITFUL & MULTIPLY,Jeopardy!
LET'S BOUNCE,Jeopardy!
RHYMES WITH SMART,Jeopardy!
SCIENCE CLASS,Double Jeopardy!
KIDS IN SPORTS,Double Jeopardy!
JUST THE FACTS,Double Jeopardy!
SEE & SAY,Double Jeopardy!
NEWS TO ME,Double Jeopardy!
IN THE DICTIONARY,Double Jeopardy!
HISTORIC WOMEN,Final Jeopardy!
ROYAL FEMALE NICKNAMES,Jeopardy!
TV ACTORS & ROLES,Jeopardy!
TRAVEL & TOURISM,Jeopardy!
"""I"" LADS",Jeopardy!
FOREWORDS,Jeopardy!
BACKWORDS,Jeopardy!
PEOPLE IN HISTORY,Double Jeopardy!
CINEMATIC DICTIONARY,Double Jeopardy!
IT'S OURS!,Double Jeopardy!
BRITISH FASHION,Double Jeopardy!
ANDY WARHOL,Double Jeopardy!
"THEATRE CROSSWORD CLUES ""M""",Double Jeopardy!
SPORTS LEGENDS,Final Jeopardy!
GENERAL SCIENCE,Jeopardy!
GETTING POSSESSIVE,Jeopardy!
FLAGS OF THE WORLD,Jeopardy!
ARCHITECTS,Jeopardy!
1994 FILMS,Jeopardy!
THE EYES HAVE IT,Jeopardy!
ALASKA,Double Jeopardy!
INTERNATIONAL SPORTSMEN,Double Jeopardy!
DRAMA QUEENS,Double Jeopardy!
ANGELS,Double Jeopardy!
IN EXILE,Double Jeopardy!
"THE ""I""s HAVE IT",Double Jeopardy!
THE MAP OF EUROPE,Final Jeopardy!
THE CIVIL WAR,Jeopardy!
CELEBS,Jeopardy!
WHAT'S IN A NAME?,Jeopardy!
EMOTICONS,Jeopardy!
FLAG 'EM DOWN,Jeopardy!
"""TEEN"" SCENE",Jeopardy!
NOT A CURRENT NATIONAL CAPITAL,Double Jeopardy!
U.S. WINTER OLYMPIANS,Double Jeopardy!
SCIENCE,Double Jeopardy!
WORDS OF THE WRITER,Double Jeopardy!
AT THE MALL,Double Jeopardy!
FROM THE GREEK,Double Jeopardy!
FAMOUS SHIPS,Final Jeopardy!
OLD FOLKS IN THEIR 30s,Jeopardy!
MOVIES & TV,Jeopardy!
A STATE OF COLLEGE-NESS,Jeopardy!
ANIMAL COLLECTIVE,Jeopardy!
I'D RATHER BE SKIING,Jeopardy!
PARLEZ VOUS?,Jeopardy!
AMERICAN AUTHORS,Double Jeopardy!
ALBUMS THAT ROCK,Double Jeopardy!
ANATOMY,Double Jeopardy!
MATHEM-ATTACK!,Double Jeopardy!
NAME THE DECADE,Double Jeopardy!
WORD ORIGINS,Double Jeopardy!
EUROPEAN HISTORY,Final Jeopardy!
AMERICAN EXPLORERS,Jeopardy!
MEASURING DEVICES,Jeopardy!
MYTHOLOGY,Jeopardy!
TELEVISION,Jeopardy!
ANNUAL EVENTS,Jeopardy!
HOMOPHONIC PAIRS,Jeopardy!
NOTABLE NONHUMANS,Double Jeopardy!
WORLD FACTS,Double Jeopardy!
ART & ARTISTS,Double Jeopardy!
BUSINESS & INDUSTRY,Double Jeopardy!
HISTORY,Double Jeopardy!
POETS,Double Jeopardy!
BRITISH NOVELS,Final Jeopardy!
LOST IN SPACE,Jeopardy!
TIMELESS TV,Jeopardy!
LET'S HIT IT,Jeopardy!
"WORLD BOOK DESCRIBES THE ""G"" MAN",Jeopardy!
MONEY SLANG,Jeopardy!
RVs,Jeopardy!
PLAY HEROINES,Double Jeopardy!
DEFENESTRATION IN CINEMA,Double Jeopardy!
"A MASSIVE ""M""ETROPOLIS",Double Jeopardy!
TAINTED GOV,Double Jeopardy!
MEDICINE,Double Jeopardy!
4 CONSONANTS IN A ROW,Double Jeopardy!
FLAGS OF THE WORLD,Final Jeopardy!
AMERICAN AUTHORS,Jeopardy!
BEGINNING & END,Jeopardy!
STATE SUPERLATIVES,Jeopardy!
3 LITTLE LETTERS,Jeopardy!
CALL OUT THE VOICE SQUAD,Jeopardy!
"YOU'RE UNDER A ""REST""",Jeopardy!
EARLY AMERICA,Double Jeopardy!
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,Double Jeopardy!
DOWN MEXICO WAY,Double Jeopardy!
TAKE A PILL,Double Jeopardy!
TRANSPORTATION,Double Jeopardy!
AN E FOR AN I,Double Jeopardy!
THE BRITISH THEATRE,Final Jeopardy!
AT THE KENNEDY CENTER,Jeopardy!
NATIONAL MONUMENTS,Jeopardy!
THE CIRCUS,Jeopardy!
ON THE RADIO,Jeopardy!
CELEB STUFF,Jeopardy!
COMMON BONDS,Jeopardy!
THE OBLIGATORY POETRY CATEGORY,Double Jeopardy!
ART,Double Jeopardy!
THE REDCOATS ARE COMING!,Double Jeopardy!
"""HIGH"" SCHOOL",Double Jeopardy!
OFF TO A GOOD START,Double Jeopardy!
COLLEGE MASCOTS,Double Jeopardy!
THE CONSTITUTION,Final Jeopardy!
THRILLER,Jeopardy!
BEN,Jeopardy!
"""BLACK"" OR ""WHITE""",Jeopardy!
REMEMBER THE TIME,Jeopardy!
ROCK WITH YOU,Jeopardy!
EAT IT!,Jeopardy!
SCOTLAND,Double Jeopardy!
BABY BOOMER MEMORIES,Double Jeopardy!
SOMETHING'S FISHY,Double Jeopardy!
"""T""ELEVISION",Double Jeopardy!
WORLD RELIGION,Double Jeopardy!
SORTA SOUNDS LIKE OPRAH?,Double Jeopardy!
GEOGRAPHIC PHRASES,Final Jeopardy!
ACTRESSES' FIRST FILMS,Jeopardy!
LIBRARIES,Jeopardy!
TELEPHONE HISTORY,Jeopardy!
VERMONTERS,Jeopardy!
"""X"", ""Y"", ""Z""",Jeopardy!
SHAKESPEAREAN LAST SCENES,Jeopardy!
MEDICAL MILESTONES,Double Jeopardy!
POETS & POETRY,Double Jeopardy!
WORLD GEOGRAPHY,Double Jeopardy!
MIXED DRINKS,Double Jeopardy!
THE 1930s,Double Jeopardy!
POP MUSIC,Double Jeopardy!
AMERICAN HISTORY,Final Jeopardy!
"CANADIAN GEOGRAPHY, EH?",Jeopardy!
ON HIS BASEBALL HALL OF FAME PLAQUE,Jeopardy!
